Date,Close,High,Low,Open,Volume
2019-10-17,132.6483765,134.2911649,132.0121522,133.844856,21460600
2019-10-18,130.4832764,132.9427131,129.6761184,132.7148061,32273500
2019-10-21,131.4519043,131.5183826,130.1034865,131.4709002,20078200
2019-10-22,129.4957123,132.9522227,129.3912567,131.9646545,27431000
2019-10-23,130.3218384,130.5212443,128.7740008,129.9799851,29844600
2019-10-24,132.8857422,133.3415417,131.6797578,132.3634643,37029300
2019-10-25,133.6359253,134.025261,132.1830524,132.3159945,25959700
2019-10-28,136.9214935,138.3268838,136.2757643,137.1208995,35280100
2019-10-29,135.6300812,137.2158964,135.4591473,136.8170699,20589500
2019-10-30,137.3203278,137.6906676,135.5920655,136.2852773,18496600
2019-10-31,136.1428986,137.6242587,135.7820637,137.5957721,24605100
2019-11-01,136.4752045,137.1399152,135.7630113,136.9879772,33128400
2019-11-04,137.263382,137.690695,136.893042,137.5292663,16912000
2019-11-05,137.1779175,137.7096861,136.6556396,137.6622037,18250200
2019-11-06,136.7980804,137.2348987,135.9814316,137.0924513,16575800
2019-11-07,136.9880219,137.5767782,136.5227314,136.5891953,17786700
2019-11-08,138.6023254,138.630812,136.5132134,136.7221246,16732700
2019-11-11,138.7447662,139.0391372,137.4343258,138.013577,14362600
2019-11-12,139.6563568,140.1311523,138.6972606,138.9061718,18641600
2019-11-13,139.8842468,140.0266942,138.9061693,139.3429875,16919200
2019-11-14,140.5964203,140.9287829,139.5898563,139.6088522,19729800
2019-11-15,142.410141,142.4291369,140.7958394,141.4225584,23485700
2019-11-18,142.7615051,142.9609256,141.4700608,142.505126,21534000
2019-11-19,142.8090057,143.7016237,142.6285811,143.2743106,23935700
2019-11-20,142.561264,143.7237084,141.4560012,143.2187137,25696800
2019-11-21,142.427887,142.7327971,141.4941251,142.3516594,18576100
2019-11-22,142.5326691,143.2091792,141.7990064,142.9900342,15901800
2019-11-25,144.0953064,144.209655,142.8471116,142.9233391,22420900
2019-11-26,144.8575287,145.2291287,144.1810332,144.2191397,24620100
2019-11-27,145.1338959,145.3053969,144.3716351,145.1434189,15184400
2019-11-29,144.238205,145.1147995,144.1429169,144.924238,11977300
2019-12-02,142.4945831,144.6670169,141.3226157,144.6479564,27418400
2019-12-03,142.2658691,142.3802031,139.7313588,140.5317404,24066000
2019-12-04,142.7803955,143.094814,142.1610524,143.0567075,17574700
2019-12-05,142.8566132,143.2282277,142.4278461,142.9709617,17869100
2019-12-06,144.5907745,144.7051086,143.1806017,143.8666349,16403500
2019-12-09,144.219162,145.0290666,143.7903949,143.94285,16687400
2019-12-10,144.0000305,144.7241702,143.6474764,144.152471,16476100
2019-12-11,144.5431061,144.7050841,143.2377445,144.3906511,18856600
2019-12-12,146.0104828,146.2010443,143.8952163,144.4954844,24612100
2019-12-13,147.2395935,147.58261,145.6197989,145.7817769,23845400
2019-12-16,148.1924438,148.5449834,147.5159482,147.7922602,24144200
2019-12-17,147.3920593,148.363942,147.1633768,148.1161989,25425600
2019-12-18,147.0871735,148.1448068,146.9061349,147.0204835,24129200
2019-12-19,148.3639679,148.4211349,146.4964298,146.7346354,24958900
2019-12-20,149.9837341,151.0127838,148.9165635,149.9265671,53477500
2019-12-23,149.9837341,150.6602297,149.8503396,150.6602297,17718200
2019-12-24,149.9551392,150.2695722,149.7073961,150.0504126,8989200
2019-12-26,151.1842957,151.2414627,149.9742074,150.1266624,14520600
2019-12-27,151.4606171,152.0227787,150.7555234,151.9274906,18412800
2019-12-30,150.1552429,151.5177862,149.3358153,151.4892027,16348400
2019-12-31,150.2600708,150.3267753,149.0690429,149.3739531,18369400
